epoch,accuracy,loss,val_accuracy,val_loss
0,0.4935277998447418,1.6068065166473389,0.5364431738853455,1.1457374095916748
1,0.5241568088531494,1.1165693998336792,0.5437317490577698,1.1519558429718018
2,0.5338194966316223,1.0922703742980957,0.5677842497825623,1.0804262161254883
3,0.5431175827980042,1.0652496814727783,0.5561224222183228,1.074102759361267
4,0.5496809482574463,1.0519418716430664,0.5648688077926636,1.0376935005187988
5,0.5649954676628113,1.0264227390289307,0.5648688077926636,1.023047924041748
6,0.57502281665802,1.006653070449829,0.5874635577201843,1.0157440900802612
7,0.57502281665802,1.0049277544021606,0.5947521924972534,1.0186281204223633
8,0.5850501656532288,0.9696589112281799,0.6020408272743225,1.0048598051071167
9,0.5901549458503723,0.9580594301223755,0.601311981678009,1.0143581628799438
10,0.6278942823410034,0.9060537219047546,0.6137025952339172,0.963239848613739
11,0.6255241632461548,0.903893768787384,0.615160346031189,0.9786396622657776
12,0.6357338428497314,0.8703269958496094,0.6180757880210876,0.965604841709137
13,0.6579762697219849,0.8296282887458801,0.6275510191917419,0.9568470120429993
14,0.6627165079116821,0.8265379071235657,0.6224489808082581,0.9551562666893005
15,0.6829535365104675,0.8040386438369751,0.6406705379486084,0.9549379944801331
16,0.6778486967086792,0.7813857793807983,0.6100583076477051,0.9660983681678772
17,0.7121239900588989,0.7422067523002625,0.6341108083724976,0.9622268080711365
18,0.7190519571304321,0.716278612613678,0.6282798647880554,0.9702268838882446
19,0.7438468337059021,0.6935955286026001,0.6435859799385071,0.9521910548210144
20,0.7566089630126953,0.6628644466400146,0.6370262503623962,0.9727131724357605
21,0.7595259547233582,0.6464097499847412,0.6384839415550232,0.9891796112060547
22,0.7600729465484619,0.6483996510505676,0.6290087699890137,1.0259438753128052
23,0.7817684412002563,0.6171151399612427,0.659621000289917,0.9335453510284424
24,0.7892434000968933,0.5798406600952148,0.6574344038963318,1.0196644067764282
25,0.8142206072807312,0.5461851954460144,0.6355684995651245,1.0385797023773193
26,0.8193254470825195,0.5374597311019897,0.6494169235229492,1.0301564931869507
27,0.8134913444519043,0.5348088145256042,0.6545189619064331,1.0724613666534424
28,0.8298997282981873,0.51170814037323,0.6311953067779541,1.0414390563964844
29,0.831540584564209,0.5066066384315491,0.6537901163101196,1.0327873229980469
30,0.85578852891922,0.46229347586631775,0.6341108083724976,1.0819311141967773
31,0.8616226315498352,0.44306275248527527,0.6078717112541199,1.1017467975616455
32,0.8596171140670776,0.4474778175354004,0.6523323655128479,1.029409646987915
33,0.8674566745758057,0.4243943393230438,0.6457725763320923,1.0299283266067505
34,0.8689152002334595,0.4194925129413605,0.648688018321991,1.065250277519226
35,0.8825888633728027,0.385442316532135,0.6465014815330505,1.1358866691589355
36,0.8893345594406128,0.37811025977134705,0.659621000289917,1.058151364326477
37,0.8922516107559204,0.3674081265926361,0.6530612111091614,1.0801575183868408
38,0.8904284238815308,0.3698790371417999,0.6341108083724976,1.2222877740859985
39,0.8953509330749512,0.35883280634880066,0.6333819031715393,1.1074624061584473
